RA,Dec,z,direction_cw_ccw
247.03672,42.89376,0.03163,1
165.78842,4.01794,0.03164,1
238.11211,42.2474,0.03167,-1
238.93118,41.90878,0.03168,1
166.62543,3.34408,0.03169,1
146.79069,4.28386,0.03175,-1
152.34264,-1.22714,0.0318,-1
243.89193,43.79901,0.03184,-1
2.71639,-0.36845,0.0319,1
170.41676,2.96398,0.03199,1
149.33559,1.9186,0.03202,-1
246.19479,44.04875,0.03203,-1
149.40113,1.58533,0.03207,-1
210.00451,0.8431,0.03226,1
4.3474,-0.5202,0.03226,1
346.93363,-0.73842,0.03233,-1
244.6833,42.4017,0.03236,-1
347.1421,-0.02608,0.03238,1
211.28912,-0.29445,0.03248,-1
151.53768,1.46493,0.0325,-1
187.02687,1.57413,0.03255,1
213.05371,-0.84641,0.03256,-1
222.19021,2.07934,0.03258,1
179.07811,4.16893,0.03259,1
150.41667,3.20206,0.03263,-1
249.34177,44.31295,0.03263,-1
154.57803,-0.7979,0.03272,-1
149.5549,-0.67151,0.03282,1
241.16039,42.44727,0.03282,1
149.3638,1.87247,0.03284,1
155.09281,4.41771,0.03285,-1
209.84217,0.20661,0.03285,1
4.22881,-0.08821,0.03289,1
18.03119,1.05283,0.03289,1
149.29314,-1.09093,0.0329,1
154.57443,3.34884,0.03291,-1
155.70093,3.75911,0.03294,1
206.51429,2.22665,0.03298,1
155.25431,4.91078,0.03299,-1
247.41314,44.28275,0.03302,1
246.68111,43.88986,0.03304,-1
190.69825,1.37799,0.03305,-1
165.09696,4.70417,0.0331,-1
152.77182,1.2241,0.03315,-1
155.22695,4.15532,0.0332,-1
247.65104,44.39706,0.0332,-1
150.39055,0.44869,0.03321,1
333.22746,0.91419,0.03321,1
220.83889,1.34088,0.03322,1
234.55084,42.47198,0.03332,1
351.20765,-0.99244,0.03337,-1
20.91717,0.68239,0.03337,1
236.79594,42.05656,0.0334,1
199.49823,-0.29534,0.03348,-1
151.72779,-1.23311,0.0335,1
236.33361,42.4497,0.03354,1
1.02968,-0.86371,0.0336,1
222.91177,2.71378,0.03361,1
135.30065,4.73278,0.03374,-1
191.92776,3.87335,0.03376,-1
221.25092,1.40853,0.03378,-1
221.98394,1.79842,0.03378,-1
170.55461,3.49055,0.03378,1
350.39268,0.44766,0.03379,-1
200.01819,-0.74097,0.03384,-1
359.52027,-0.78131,0.03384,-1
221.01456,0.00003,0.03387,1
217.70532,-2.07813,0.03388,1
149.24606,3.81306,0.03396,-1
151.00894,-0.34295,0.03397,1
352.53888,-0.97564,0.03399,1
237.51758,42.68878,0.03401,1
162.11397,4.82549,0.03405,-1
222.2607,2.43643,0.03425,-1
224.38351,42.87744,0.0343,-1
352.53236,-0.98332,0.03431,-1
169.29411,3.0279,0.03433,1
238.00135,42.72749,0.03436,1
198.87808,2.06978,0.03437,-1
150.64772,-0.0676,0.03438,-1
221.83195,-0.95751,0.03443,-1
149.66139,4.67257,0.03445,-1
36.13903,-0.96274,0.03448,1
148.91868,5.04352,0.03449,1
147.9379,3.27239,0.03454,-1
351.55782,1.14116,0.03454,1
148.52475,0.65055,0.03455,-1
148.64296,0.69176,0.03461,1
218.04679,0.40047,0.03463,-1
149.0567,0.7539,0.03463,1
347.33552,-0.44224,0.03473,1
165.52091,3.53033,0.03474,-1
239.47659,41.93715,0.0349,-1
9.32475,-0.01513,0.0349,-1
217.29078,-0.35169,0.03497,-1
163.67241,3.62002,0.03498,1
224.04617,0.44724,0.03499,-1
213.3513,43.84489,0.03501,-1
214.79384,44.13767,0.03501,1
149.55064,0.23726,0.03502,1
213.41682,43.86659,0.03504,1
171.82819,3.88946,0.03505,1
214.46988,3.02091,0.03506,1
221.33371,44.16257,0.0351,1
246.67697,42.56463,0.03512,-1
182.4712,-0.01602,0.03513,-1
215.42028,43.47684,0.03514,1
218.25324,44.3847,0.03524,1
237.24747,41.9063,0.03525,1
218.87501,0.4137,0.03527,1
168.24915,2.68086,0.03533,1
240.16007,42.44571,0.03542,1
217.92237,43.84041,0.03545,-1
236.81163,43.99547,0.03545,-1
162.27624,2.22414,0.03549,1
163.77421,3.11096,0.0355,-1
167.40205,2.41059,0.03552,1
240.36584,42.38822,0.03554,1
219.15072,43.9698,0.03562,1
354.65457,-0.46957,0.03566,1
239.13748,41.89815,0.03578,1
167.38964,2.74138,0.03584,-1
220.33951,44.12364,0.03585,-1
222.09438,1.21212,0.03585,-1
